交易日期,買/賣/股利,代號,股票,交易類別,買入股數,買入價格,賣出股數,賣出價格,現價,手續費,交易稅,交易成本,支出,收入,價差,ROR,持有時間,打平
2021/11/8,賣,8069,元太,一般,, ,1000,88.7,289.0,126,266,392,,"88,308",200.30,,"1,224",
2021/11/11,買,0056,元大高股息,一般,13,32.3,,,35.9,1,,1,-421,,3.59,,"1,221",
2021/11/11,買,0056,元大高股息,一般,13,32.37,,,35.9,1,,1,-422,,3.52,,"1,221",
2021/11/11,買,0056,元大高股息,一般,1000,32.31,,,35.9,46,,46,"-32,356",,3.58,,"1,221",
2021/11/11,買,3019,亞光,一般,10,86.1,,,157.0,1,,1,-862,,70.90,,"1,221",
2021/11/15,買,6517,保勝光學,一般,1000,21,,,77.6,29,,29,"-21,029",,56.60,,"1,217",
2021/11/26,買,8069,元太,一般,10,116.5,,,289.0,1,,1,"-1,166",,172.50,,"1,206",
2021/12/17,賣,6517,保勝光學,一般,, ,1000,19.05,77.6,27,57,84,,"18,966",58.55,,"1,185",
2021/12/22,買,6517,保勝光學,一般,1000,23.55,,,77.6,33,,33,"-23,583",,54.05,,"1,180",
2021/12/23,賣,6517,保勝光學,一般,, ,1000,25.5,77.6,36,76,112,,"25,388",52.10,,"1,179",
2021/12/24,買,3019,亞光,一般,10,93.3,,,157.0,1,,1,-934,,63.70,,"1,178",
2021/12/24,買,3019,亞光,一般,10,93.7,,,157.0,1,,1,-938,,63.30,,"1,178",
2021/12/28,賣,8069,元太,一般,, ,10,148.5,289.0,2,4,6,,"1,479",140.50,,"1,174",
2022/1/12,買,3019,亞光,一般,100,88.5,,,157.0,12,,12,"-8,862",,68.50,,"1,159",
2022/1/12,買,8069,元太,一般,100,143.5,,,289.0,20,,20,"-14,370",,145.50,,"1,159",
2022/1/13,買,8069,元太,一般,100,140,,,289.0,19,,19,"-14,019",,149.00,,"1,158",
2022/1/25,買,8069,元太,一般,100,150.5,,,289.0,6,,6,"-15,056",,138.50,,"1,146",
2022/2/2,賣,8069,元太,一般,,,100,182.5,289.0,8,54,62,,"18,188",106.50,,"1,138",
2022/2/8,買,2330,台積電,一般,20,635,,,959.0,6,,6,"-12,706",,324.00,,"1,132",
2022/2/23,買,2330,台積電,一般,20,625,,,959.0,5,,5,"-12,505",,334.00,,"1,117",
2022/2/24,買,2330,台積電,一般,20,614,,,959.0,5,,5,"-12,285",,345.00,,"1,116",
2022/2/24,買,8069,元太,一般,100,195,,,289.0,8,,8,"-19,508",,94.00,,"1,116",
2022/2/25,買,2330,台積電,一般,20,605,,,959.0,5,,5,"-12,105",,354.00,,"1,115",
2022/3/6,賣,8069,元太,一般,, ,100,203,289.0,9,60,69,,"20,231",86.00,,"1,106",
2022/3/8,買,2330,台積電,一般,20,565,,,959.0,5,,5,"-11,305",,394.00,,"1,104",
2022/3/24,賣,8069,元太,一般,, ,200,172.5,289.0,49,103,152,,"34,348",116.50,,"1,088",
2022/3/31,賣,8069,元太,一般,, ,100,184,289.0,8,55,63,,"18,337",105.00,,"1,081",
2022/4/21,買,2330,台積電,一般,20,566,,,959.0,5,,5,"-11,325",,393.00,,"1,060",
2022/7/15,買,2409,友達,一般,1000,14.25,,,15.3,20,,20,"-14,270",,1.05,,975,
2022/8/2,買,2603,長榮,一般,50,93.7,,,220.0,2,,2,"-4,687",,126.30,,957,
2022/8/31,賣,2409,友達,一般,, ,1000,16.6,15.3,20,49,69,,"16,531",-1.30,,928,
2022/9/13,買,2609,陽明,一般,50,71.5,,,74.2,2,,2,"-3,577",,2.70,,915,
2022/9/14,買,2376,技嘉,一般,50,91.7,,,260.0,2,,2,"-4,587",,168.30,,914,
2022/9/14,買,9103,美德醫療-DR,一般,1000,8.11,,,6.1,20,,20,"-8,130",,-2.02,,914,
2022/9/15,買,1536,和大,一般,50,97,,,73.5,2,,2,"-4,852",,-23.50,,913,
2022/9/15,買,2404,漢唐,一般,50,177.5,,,413.5,4,,4,"-8,879",,236.00,,913,
2022/9/16,買,2330,台積電,一般,20,471,,,959.0,4,,4,"-9,424",,488.00,,912,
2022/9/23,買,2330,台積電,一般,20,458.5,,,959.0,4,,4,"-9,174",,500.50,,905,
2022/9/23,買,8069,元太,一般,50,229.5,,,289.0,5,,5,"-11,480",,59.50,,905,
2022/9/23,買,8933,愛地雅,一般,1000,20.1,,,8.7,20,,20,"-20,120",,-11.38,,905,
2022/9/26,買,2409,友達,一般,1000,15.2,,,15.3,20,,20,"-15,220",,0.10,,902,
2022/9/26,買,8069,元太,一般,5,220,,,289.0,1,,1,"-1,101",,69.00,,902,
2022/9/26,買,8069,元太,一般,5,219,,,289.0,1,,1,"-1,096",,70.00,,902,
2022/9/26,買,8069,元太,一般,5,217.5,,,289.0,1,,1,"-1,089",,71.50,,902,
2022/9/26,買,8069,元太,一般,5,213.5,,,289.0,1,,1,"-1,069",,75.50,,902,
2022/9/26,買,8069,元太,一般,5,213.5,,,289.0,1,,1,"-1,069",,75.50,,902,
2022/9/26,買,8069,元太,一般,5,217,,,289.0,1,,1,"-1,086",,72.00,,902,
2022/9/28,買,2330,台積電,一般,20,440,,,959.0,4,,4,"-8,804",,519.00,,900,
2022/9/28,買,8069,元太,一般,20,210,,,289.0,2,,2,"-4,202",,79.00,,900,
2022/9/28,買,8069,元太,一般,20,206.5,,,289.0,2,,2,"-4,132",,82.50,,900,
2022/9/29,賣,2603,長榮,一般,, ,50,80.8,220.0,0,,,,"4,040",139.20,,899,
2022/9/29,買,2603,長榮,一般,20,234.35,,,220.0,0,,,"-4,687",,-14.35,,899,
2022/10/5,買,2367,燿華,一般,200,20,,,28.8,2,,2,"-4,002",,8.80,,893,
2022/10/5,賣,8069,元太,一般,, ,120,221.5,289.0,11,79,90,,"26,490",67.50,,893,
2022/10/5,賣,8933,愛地雅,一般,, ,1000,21.15,8.7,20,63,83,,"21,067",-12.43,,893,
2022/10/11,買,2330,台積電,一般,20,408,,,959.0,4,,4,"-8,164",,551.00,,887,
2022/10/11,買,2330,台積電,一般,20,411,,,959.0,4,,4,"-8,224",,548.00,,887,
2022/10/11,賣,2409,友達,一般,, ,600,16,15.3,4,28,32,,"9,568",-0.70,,887,
2022/10/11,買,8069,元太,一般,20,201.5,,,289.0,2,,2,"-4,032",,87.50,,887,
2022/10/14,買,2610,華航,一般,200,17.4,,,24.5,2,,2,"-3,482",,7.05,,884,
2022/10/14,買,2618,長榮航,一般,200,24.45,,,43.3,2,,2,"-4,892",,18.80,,884,
